iter	Passed	Remaining
898	2064	231
899	2066	229
900	2068	227
901	2070	224
902	2072	222
903	2074	220
904	2076	218
905	2078	215
906	2080	213
907	2082	211
908	2085	208
909	2087	206
910	2089	204
911	2091	201
912	2093	199
913	2095	197
914	2097	194
915	2099	192
916	2101	190
917	2103	187
918	2105	185
919	2107	183
920	2109	180
921	2111	178
922	2113	176
923	2115	174
924	2117	171
925	2119	169
926	2121	167
927	2123	164
928	2125	162
929	2127	160
930	2130	157
931	2132	155
932	2134	153
933	2136	150
934	2138	148
935	2140	146
936	2142	144
937	2144	141
938	2146	139
939	2148	137
940	2150	134
941	2152	132
942	2154	130
943	2156	127
944	2158	125
945	2160	123
946	2163	121
947	2165	118
948	2167	116
949	2169	114
950	2171	111
951	2173	109
952	2175	107
953	2177	105
954	2179	102
955	2181	100
956	2183	98
957	2185	95
958	2188	93
959	2190	91
960	2192	88
961	2194	86
962	2196	84
963	2198	82
964	2200	79
965	2202	77
966	2204	75
967	2207	72
968	2209	70
969	2211	68
970	2213	66
971	2215	63
972	2217	61
973	2219	59
974	2221	56
975	2223	54
976	2225	52
977	2227	50
978	2229	47
979	2232	45
980	2234	43
981	2236	40
982	2238	38
983	2240	36
984	2242	34
985	2244	31
986	2246	29
987	2248	27
988	2251	25
989	2253	22
990	2255	20
991	2257	18
992	2259	15
993	2261	13
994	2263	11
995	2266	9
996	2268	6
997	2270	4
998	2272	2
999	2274	0
